dataset,method,kind,m,primary_depth,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
ADBench Mammography (binary stress test),Base: PCA reconstruction,base,520,False,0.06112505942215258,0.002233568674401817,0.05889149074775076,0.09401215354972581,0.06032470296279731,12686.0,334486.0,5679700,0.12224452284875245,0.051462466816811145,0.243733800625672,0.22292986906822593,0.10507275145333747,0.10507275145333747,0.620733244600314,0.08076923076923077,0.08076923076923077,0.16153846153846155,0.16153846153846155
ADBench Mammography (binary stress test),Base: HBOS,base,130,False,0.31826745775025517,0.0011983878500631368,0.317069069900192,0.2065593321407275,0.3189193327255392,1732.0,458252.0,1445275,0.32393467559630706,0.14738815675720207,0.3074827739153661,0.42822906416725603,0.2141571863524515,0.2141571863524515,0.8457791956281383,0.3384615384615385,0.3384615384615385,0.16923076923076924,0.16923076923076924
ADBench Mammography (binary stress test),Base: HBOS,base,260,True,0.20808309989038332,0.002004767456022828,0.2060783324343605,0.1711018711018711,0.20852153888407665,5761.0,592197.0,2873650,0.21055007429629785,0.14738815675720207,0.288305071821154,0.3022822505318991,0.2141571863524515,0.2141571863524515,0.8457791956281383,0.22692307692307692,0.22692307692307692,0.22692307692307692,0.22692307692307692
ADBench Mammography (binary stress test),Base: HBOS,base,520,False,0.14804549536067046,0.0025205556631512226,0.14552493969751923,0.10609159626500667,0.14906650603452629,14316.0,826538.0,5679700,0.29607743716505047,0.14738815675720207,0.2017238491350902,0.37651271623558796,0.2141571863524515,0.2141571863524515,0.8457791956281383,0.16538461538461538,0.16538461538461538,0.33076923076923076,0.33076923076923076
ADBench Mammography (binary stress test),Base: Robust diagonal distance,base,130,False,0.09321547802321357,0.000537613948902458,0.09267786407431111,0.0926654740608229,0.0932186875822088,777.0,133945.0,1445275,0.09487531602335228,0.1364950077936273,0.20430309019669401,0.16328412011871357,0.09396257964290178,0.09396257964290178,0.8202233818548017,0.11538461538461539,0.11538461538461539,0.057692307692307696,0.057692307692307696
ADBench Mammography (binary stress test),Base: Robust diagonal distance,base,260,True,0.05885615854401197,0.0006573521479651314,0.05819880639604684,0.0561033561033561,0.058888794991514025,1889.0,167243.0,2873650,0.05955394052070789,0.1364950077936273,0.1453121076272732,0.11588052088858596,0.09396257964290178,0.09396257964290178,0.8202233818548017,0.08076923076923077,0.08076923076923077,0.08076923076923077,0.08076923076923077
ADBench Mammography (binary stress test),Base: Robust diagonal distance,base,520,False,0.06303854076799831,0.00020916597707625403,0.06282937479092206,0.008803912850155625,0.06435842128423953,1188.0,356852.0,5679700,0.12607131036134056,0.1364950077936273,0.02234684790408534,0.17889404057916203,0.09396257964290178,0.09396257964290178,0.8202233818548017,0.08461538461538462,0.08461538461538462,0.16923076923076924,0.16923076923076924
ADBench Mammography (binary stress test),Borda mean rank,aggregate,130,False,0.3332279324004082,0.0006836069260175399,0.33254432547439067,0.11782945736434108,0.334484894459562,988.0,480618.0,1445275,0.3391615433911506,0.14405798522858737,0.17357487143231765,0.41144740039559724,0.19107374275442715,0.19107374275442715,0.8379664645525673,0.35384615384615387,0.35384615384615387,0.17692307692307693,0.17692307692307693
ADBench Mammography (binary stress test),Borda mean rank,aggregate,260,True,0.2269914568580029,0.0014552920501800847,0.2255361648078228,0.1242055242055242,0.22821005781730858,4182.0,648112.0,2873650,0.2296826033986155,0.14405798522858737,0.20349064465163597,0.30050151774985734,0.19107374275442715,0.19107374275442715,0.8379664645525673,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.24615384615384617
ADBench Mammography (binary stress test),Borda mean rank,aggregate,520,False,0.1407239819004525,0.003074810289275842,0.13764917161117665,0.1294204831777086,0.14099906939164183,17464.0,781806.0,5679700,0.2814350805287361,0.14405798522858737,0.2508588276597877,0.35073683497715646,0.19107374275442715,0.19107374275442715,0.8379664645525673,0.1576923076923077,0.1576923076923077,0.3153846153846154,0.3153846153846154
